transaction_id,description,amount,transaction_date
TXN-00358,UPI-WILLIAMS LOGAN,34491.0,2026-08-16
TXN-00359,PAYMENT TURNER SCHNEIDER AND JOHNSON,57446.0,2026-08-23
TXN-00360,BOONE SIMMONS,66570.0,2026-08-04
TXN-00361,NEFT-HENRY GROUP,53044.0,2026-07-10
TXN-DUP-00361,NEFT-HENRY GROUP,53044.0,2026-07-10
TXN-00362-A,LAM LLC PAYMENT,2073.6,2026-08-05
TXN-00362-B,LAM LLC PAYMENT,1382.4,2026-08-05
TXN-00363,NEFT-HERNANDEZ MARTINEZ,75465.0,2026-08-07
TXN-00364,NEFT-KELLEY NGUYEN AND VANG,3733.0,2026-08-14
TXN-00365,PHILLIPS WAGNER,91388.0,2026-07-07
TXN-00366,WILSON PENA PAYMENT,30391.0,2026-08-07
TXN-00367,LE LEWIS AND HAYES,98754.0,2026-08-13
TXN-00368,IMPS GUTIERREZ GROUP,67910.0,2026-07-25
TXN-00369,PERRY DAVIS PAYMENT,26415.0,2026-07-08
TXN-DUP-00369,PERRY DAVIS PAYMENT,26415.0,2026-07-08
TXN-00370,PAYMENT EDWARDS SCOTT,96089.0,2026-07-13
TXN-00371,PAYMENT MCDANIEL GROUP,14474.0,2026-08-25
TXN-00372,UPI-DAVIS INC,79957.0,2026-08-25
TXN-DUP-00372,UPI-DAVIS INC,79957.0,2026-08-25
TXN-00373-A,UPI-REYNOLDS LTD,6525.6,2026-08-23
TXN-00373-B,UPI-REYNOLDS LTD,4350.4,2026-08-23
TXN-00374,NEFT-WATSON ANDERSON AND BROWN,65764.0,2026-08-05
TXN-DUP-00374,NEFT-WATSON ANDERSON AND BROWN,65764.0,2026-08-05
TXN-00375,UPI-HOFFMAN SANTIAGO,90277.0,2026-07-13
TXN-00376,UPI-PUGH HENDERSON,42436.0,2026-08-25
TXN-00377,SCHMITT PLC,40691.0,2026-07-15
TXN-00378,NEFT-BELL LANE,47129.0,2026-08-02
TXN-00379,MOORE GROUP PAYMENT,60233.0,2026-09-01
TXN-00380,IMPS BOONE LLC,11057.0,2026-07-27
TXN-00381,UPI-RICHARDSON FARMER AND ANDREWS,78867.0,2026-08-02
TXN-00382-A,IMPS BRUCE VILLEGAS,3825.6,2026-08-06
TXN-00382-B,IMPS BRUCE VILLEGAS,2550.4,2026-08-06
TXN-00383,PAYMENT AUSTIN DAY,86437.0,2026-08-22
TXN-00384,GALLEGOS ADAMS AND WHITE PAYMENT,9109.0,2026-08-06
TXN-00385,PAYMENT FARMER DORSEY,94626.0,2026-08-29
TXN-00386-A,IMPS KANE PLC,56249.4,2026-08-06
TXN-00386-B,IMPS KANE PLC,37499.6,2026-08-06
TXN-00387,MORALES THOMAS PAYMENT,69517.0,2026-07-26
TXN-00388,UPI-DAVIS PLC,51779.0,2026-08-08
TXN-DUP-00388,UPI-DAVIS PLC,51779.0,2026-08-08
TXN-00389,UPI-BENNETT GROUP,79366.0,2026-08-31
TXN-DUP-00389,UPI-BENNETT GROUP,79366.0,2026-08-31
TXN-00390,IMPS MOORE COLLINS,44863.0,2026-08-30
TXN-00391,UPI-FRANK BRADLEY,89916.0,2026-08-10
TXN-00392,IMPS WARE AND,86807.0,2026-07-07
TXN-00393-A,WEBSTER INC PAYMENT,52788.0,2026-08-25
TXN-00393-B,WEBSTER INC PAYMENT,35192.0,2026-08-25
TXN-00396,PAYMENT REED INC,11604.0,2026-08-15
TXN-00397,GREGORY WATKINS,88833.0,2026-07-28
TXN-00398,ESTRADA WILLIAMS PAYMENT,85675.0,2026-07-23
TXN-00399-A,NEFT-BROWN HARRIS,24889.8,2026-08-23
TXN-00399-B,NEFT-BROWN HARRIS,16593.2,2026-08-23
TXN-00400-A,PAYMENT DURAN LLC,15699.6,2026-08-20
TXN-00400-B,PAYMENT DURAN LLC,10466.4,2026-08-20
TXN-00401,IMPS WILSON JIMENEZ,11114.0,2026-08-19
TXN-00402,IMPS THOMPSON JAMES,71748.0,2026-07-12
TXN-DUP-00402,IMPS THOMPSON JAMES,71748.0,2026-07-12
TXN-00403,PAYMENT HALL HANSEN AND BARNETT,5947.0,2026-07-23
TXN-00404,PAYMENT JONES HENSLEY,79282.0,2026-08-10
TXN-00405,UPI-GRAHAM GROUP,91562.0,2026-07-16
TXN-00406,UPI-ATKINS PLC,58366.0,2026-09-01
TXN-00407-A,IMPS BERRY MCKINNEY,57190.2,2026-08-19
TXN-00407-B,IMPS BERRY MCKINNEY,38126.8,2026-08-19
TXN-00408,NEFT-ROBERTS SULLIVAN,38346.0,2026-07-17
TXN-DUP-00408,NEFT-ROBERTS SULLIVAN,38346.0,2026-07-17
TXN-00409,NEFT-JACKSON MEZA,31671.0,2026-07-31
TXN-00411,KIM INC PAYMENT,75766.0,2026-08-06
TXN-00412,PAYMENT GRAHAM GROUP,51052.0,2026-08-02
TXN-00413,NEFT-MILLER HARRELL,26674.0,2026-07-14
TXN-00414-A,IMPS COOK AND SONS,29793.0,2026-07-30
TXN-00414-B,IMPS COOK AND SONS,19862.0,2026-07-30
TXN-00415,PAYMENT DIXON INC,17341.0,2026-08-16
TXN-00416-A,NEFT-HICKS BULLOCK,22053.0,2026-08-06
TXN-00416-B,NEFT-HICKS BULLOCK,14702.0,2026-08-06
TXN-00417,MULLEN BREWER PAYMENT,13021.0,2026-07-07
TXN-00418,PAYMENT THOMAS AND SONS,4495.0,2026-08-08
TXN-00419,MORRISON LTD,51615.0,2026-08-29
TXN-00420,UPI-THOMPSON LTD,42770.0,2026-07-06
TXN-00421,PAYMENT MARSHALL ELLIOTT,86191.0,2026-08-13
TXN-DUP-00421,PAYMENT MARSHALL ELLIOTT,86191.0,2026-08-13
TXN-00422-A,PAYMENT COLE GLASS,3612.0,2026-08-16
TXN-00422-B,PAYMENT COLE GLASS,2408.0,2026-08-16
TXN-00423,DOWNS MORRIS,93476.0,2026-08-04
TXN-00424,PAYMENT HERNANDEZ JONES,3490.0,2026-08-18
TXN-00425,WELCH HOGAN,71932.0,2026-07-19
TXN-00426,NEFT-BROWN ROMERO,38762.0,2026-08-19
TXN-00427,JOHNSON WOOD,84648.0,2026-07-15
TXN-00428,UPI-JONES LIN,66513.0,2026-07-27
TXN-00429,PAYMENT GILBERT PLC,68551.0,2026-07-29
TXN-00430,FORD SPENCER PAYMENT,39177.0,2026-08-07
TXN-00431,HUANG COLE AND PACHECO,32531.0,2026-07-29
TXN-00432,IMPS LOPEZ JACOBS AND MASON,69614.0,2026-08-11
TXN-00433,NEFT-HAYES LLC,67535.0,2026-07-30
TXN-00434,UPI-MILLER LUCAS,6706.0,2026-07-25
TXN-00435,UPI-KIM GONZALES,3128.0,2026-08-12
TXN-DUP-00435,UPI-KIM GONZALES,3128.0,2026-08-12
TXN-00436,IMPS COX LLC,87127.0,2026-07-25
TXN-00437,ORTIZ MORGAN,97362.0,2026-07-17
TXN-00438,UPI-WILLIAMS MCCOY AND COOK,47176.0,2026-07-31
TXN-00439,PAYMENT DAVIS GREGORY,61899.0,2026-07-21
TXN-00441,PAYMENT MARKS COOK,60988.0,2026-09-01
TXN-00442-A,IMPS RANGEL LLC,3895.2,2026-08-14
TXN-00442-B,IMPS RANGEL LLC,2596.8,2026-08-14
TXN-00443,UPI-HALE MYERS,53196.0,2026-07-13
TXN-00444,COLLINS GROUP,26048.0,2026-08-16
TXN-00445,NEFT-CONNER LI AND SANTIAGO,86948.0,2026-08-13
TXN-00446,OSBORN GAINES AND DAVIS PAYMENT,53431.0,2026-07-18
TXN-00448,BEAN LLC PAYMENT,49148.0,2026-07-06
TXN-DUP-00448,BEAN LLC PAYMENT,49148.0,2026-07-06
TXN-00449,NEFT-LEE COOKE,11828.0,2026-07-19
TXN-00450,JONES INC PAYMENT,79964.0,2026-07-13
TXN-00451,WISE CONLEY AND STEPHENSON PAYMENT,43101.0,2026-08-28
TXN-00453,UPI-HARPER AND,22842.0,2026-07-21
TXN-00454-A,WHITE LTD PAYMENT,28326.0,2026-07-26
TXN-00454-B,WHITE LTD PAYMENT,18884.0,2026-07-26
TXN-00455-A,UPI-LAMB MARTIN,50889.6,2026-07-15
TXN-00455-B,UPI-LAMB MARTIN,33926.4,2026-07-15
TXN-00456,UPI-DIAZ BALL,54242.0,2026-08-11
TXN-00457-A,PAYMENT BISHOP GOODWIN,54030.6,2026-08-24
TXN-00457-B,PAYMENT BISHOP GOODWIN,36020.4,2026-08-24
TXN-00458,YOUNG ALLEN,80635.0,2026-07-22
TXN-DUP-00458,YOUNG ALLEN,80635.0,2026-07-22
TXN-00459,UPI-MCKEE LEE,17545.0,2026-08-30
TXN-00460,IMPS VALENTINE JOYCE AND MURRAY,49015.0,2026-08-11
TXN-00461,STRICKLAND SHAW PAYMENT,21111.0,2026-07-22
TXN-00462,IMPS BURCH MONTOYA,49760.0,2026-08-06
TXN-DUP-00462,IMPS BURCH MONTOYA,49760.0,2026-08-06
TXN-00463,TAYLOR WRIGHT PAYMENT,19047.0,2026-08-01
TXN-00464,PAYMENT SPENCER GARCIA,33717.0,2026-08-27
TXN-00465,ROSALES MITCHELL AND HINES PAYMENT,66410.0,2026-08-01
TXN-00466,IMPS COLE PALMER,35116.0,2026-07-20
TXN-00467-A,NEFT-DAVIS LOZANO,23058.6,2026-07-21
TXN-00467-B,NEFT-DAVIS LOZANO,15372.4,2026-07-21
TXN-00468,WILKERSON ARIAS,27237.0,2026-08-27
TXN-00469,BROWN SHAW,60250.0,2026-08-29
TXN-00470-A,UPI-HUGHES INC,54228.6,2026-07-11
TXN-00470-B,UPI-HUGHES INC,36152.4,2026-07-11
TXN-00471,IMPS WALKER FLORES,46537.0,2026-07-20
TXN-00472,PAYMENT COMBS LTD,39058.0,2026-07-08
TXN-00473-A,UPI-MOODY TAYLOR,56578.8,2026-07-20
TXN-00473-B,UPI-MOODY TAYLOR,37719.2,2026-07-20
TXN-00474,PAYMENT LOWERY KENNEDY,23818.0,2026-07-15
TXN-00475,PAYMENT BLAKE GROUP,16907.0,2026-08-22
TXN-DUP-00475,PAYMENT BLAKE GROUP,16907.0,2026-08-22
TXN-00476,IMPS GILBERT BULLOCK,65752.0,2026-09-02
TXN-00477,SCOTT AND,49353.0,2026-08-12
TXN-00478,NEFT-BENTLEY LYNCH AND HENDERSON,9617.0,2026-08-15
TXN-00479,IMPS YOUNG MARTINEZ,69903.0,2026-08-08
TXN-DUP-00479,IMPS YOUNG MARTINEZ,69903.0,2026-08-08
TXN-00480-A,UPI-BARNES PLC,6399.6,2026-08-26
TXN-00480-B,UPI-BARNES PLC,4266.4,2026-08-26
TXN-00481,IMPS BROWN COPELAND,10720.0,2026-08-06
TXN-00482,UPI-CARLSON SMITH,46156.0,2026-09-02
TXN-00483,IMPS ANDREWS HIGGINS,78042.0,2026-08-23
TXN-DUP-00483,IMPS ANDREWS HIGGINS,78042.0,2026-08-23
TXN-00484,PAYMENT MENDEZ AND,8263.0,2026-07-12
TXN-00485-A,IMPS BUTLER BECK,13337.4,2026-08-14
TXN-00485-B,IMPS BUTLER BECK,8891.6,2026-08-14
TXN-00486,PAYMENT JONES FOX,38230.0,2026-07-11
TXN-00487,IMPS HARTMAN ROMERO AND SMITH,84238.0,2026-07-30
TXN-00488,PAYMENT WILLIAMS HUGHES,70924.0,2026-08-29
TXN-00489,UPI-KING SMITH,78569.0,2026-07-28
TXN-00490-A,COOPER LTD PAYMENT,49710.6,2026-07-19
TXN-00490-B,COOPER LTD PAYMENT,33140.4,2026-07-19
TXN-00491,UPI-FULLER INGRAM,74874.0,2026-09-04
TXN-00493,NEFT-LI THOMPSON,75891.0,2026-08-08
TXN-00494,NEFT-MARSHALL DOMINGUEZ AND WELCH,83203.0,2026-07-31
TXN-00495,BROWN GROUP PAYMENT,33096.0,2026-07-20
TXN-00497,NEFT-BLACKWELL LLC,21719.0,2026-08-06
TXN-00498,UPI-ROBERTSON HAYS,27241.0,2026-08-13
TXN-00499-A,NEFT-KENNEDY JOHNSON,25711.8,2026-07-19
TXN-00499-B,NEFT-KENNEDY JOHNSON,17141.2,2026-07-19
TXN-00500,IMPS KELLY NORMAN,18139.0,2026-07-17
